6;34;8;2009;F;32.36;47.38;1015.67;12.62;1.66;18.17;0.00;0
7;34;8;2009;F;32.24;47.27;1015.70;12.40;1.60;17.77;0.00;0
1;35;8;2009;L;32.29;47.32;1015.69;12.50;1.62;17.96;0.00;0
2;35;8;2009;L;32.28;47.31;1015.69;12.49;1.62;17.94;0.00;2
3;35;8;2009;L;32.28;45.00;1016.00;17.00;1.00;24.00;0.00;5
4;35;8;2009;L;33.10;64.00;1015.00;19.00;4.00;28.00;0.00;25
5;35;8;2009;L;35.40;67.00;1014.00;17.00;2.00;28.00;0.00;24
6;35;8;2009;F;33.00;67.00;1016.00;19.00;3.00;30.00;0.00;17
7;35;8;2009;F;34.10;67.00;1015.00;19.00;3.00;30.00;0.00;7
1;36;8;2009;L;36.00;69.00;1014.00;21.00;3.00;34.00;0.00;18
2;36;9;2009;L;33.30;81.00;1014.00;22.00;1.00;34.00;0.00;4
3;36;9;2009;L;34.50;67.00;1013.00;19.00;2.00;28.00;0.00;4
4;36;9;2009;L;39.20;47.00;1012.00;23.00;3.00;34.00;0.00;37
5;36;9;2009;L;37.60;51.00;1012.00;22.00;4.00;34.00;0.00;32
6;36;9;2009;F;32.20;70.00;1017.00;21.00;4.00;30.00;0.00;16
7;36;9;2009;F;30.30;67.00;1017.00;21.00;4.00;34.00;0.00;11
1;37;9;2009;L;30.20;66.00;1017.00;22.00;3.00;34.00;0.00;18
2;37;9;2009;L;30.40;63.00;1016.00;19.00;3.00;34.00;0.00;7
3;37;9;2009;L;30.40;62.00;1018.00;19.00;3.00;28.00;0.00;33
4;37;9;2009;L;30.70;58.00;1019.00;16.00;3.00;26.00;0.00;12
5;37;9;2009;L;30.20;60.00;1018.00;26.00;3.00;38.00;0.00;21
6;37;9;2009;F;32.00;60.00;1014.00;19.00;3.00;32.00;0.00;9
7;37;9;2009;F;30.80;69.00;1014.00;24.00;2.00;37.00;0.10;12
1;38;9;2009;L;30.90;63.00;1011.00;30.00;3.00;39.00;0.10;9
2;38;9;2009;F;26.30;75.00;1008.00;21.00;2.00;32.00;0.48;1
3;38;9;2009;L;25.60;82.00;1008.00;24.00;1.00;41.00;1.78;2
4;38;9;2009;L;26.70;72.00;1010.00;37.00;5.00;61.00;0.13;2
5;38;9;2009;L;28.50;56.00;1015.00;19.00;2.00;30.00;0.00;4
6;38;9;2009;F;30.00;49.00;1020.00;23.00;3.00;37.00;0.00;7
7;38;9;2009;F;27.00;54.00;1019.00;19.00;2.00;38.00;0.00;2
1;39;9;2009;L;28.40;65.00;1020.00;19.00;2.00;34.00;0.36;4
2;39;9;2009;L;27.20;70.00;1020.00;17.00;2.00;34.00;0.36;0
3;39;9;2009;L;25.00;77.00;1019.00;18.00;3.00;32.00;0.03;1
4;39;9;2009;L;29.90;68.00;1020.00;12.00;2.00;23.00;0.00;2
5;39;9;2009;L;31.90;60.00;1019.00;18.00;3.00;28.00;0.00;5
6;39;9;2009;F;26.40;70.00;1017.00;13.00;2.00;23.00;0.00;3
7;39;9;2009;F;22.30;83.00;1017.00;21.00;2.00;36.00;2.01;2
