1;26;6;2009;L;30.70;62.00;1016.00;24.00;4.00;36.00;0.00;34.00;3.00;70.00;49.00;0.40;2.40;2.20;34.00;0.10;2.00;2.00;8.00;0.00;2.00;4
2;26;6;2009;L;32.10;61.00;1014.00;24.00;4.00;36.00;0.00;28.00;3.00;73.00;40.00;0.40;3.30;2.40;39.00;0.10;2.00;8.00;0.00;2.00;4.00;0
3;26;6;2009;L;36.20;56.00;1011.00;22.00;3.00;34.00;0.00;41.00;4.00;74.00;59.00;0.50;3.10;2.40;49.00;0.20;8.00;0.00;2.00;4.00;0.00;2
4;26;6;2009;L;37.50;45.00;1007.00;21.00;4.00;35.00;0.00;44.00;4.00;62.00;69.00;0.40;3.60;2.30;44.00;0.10;0.00;2.00;4.00;0.00;2.00;2
5;26;6;2009;L;34.40;34.00;1010.00;27.00;5.00;37.00;0.00;49.00;3.00;65.00;76.00;0.30;2.50;2.20;31.00;0.10;2.00;4.00;0.00;2.00;2.00;3
6;26;6;2009;F;32.20;50.00;1016.00;24.00;5.00;34.00;0.00;28.00;3.00;68.00;40.00;0.30;2.80;2.20;41.00;0.10;4.00;0.00;2.00;2.00;3.00;5
7;26;6;2009;F;36.30;53.00;1011.00;23.00;2.00;32.00;0.00;23.00;3.00;75.00;28.00;0.30;2.40;2.10;34.00;0.10;0.00;2.00;2.00;3.00;5.00;2
1;27;6;2009;L;32.20;53.00;1013.00;22.00;4.00;32.00;0.00;36.00;4.00;65.00;58.00;0.50;3.40;2.40;40.00;0.30;2.00;2.00;3.00;5.00;2.00;1
2;27;6;2009;L;35.80;61.00;1015.00;22.00;3.00;34.00;0.00;29.00;4.00;79.00;43.00;0.30;3.50;2.80;44.00;0.40;2.00;3.00;5.00;2.00;1.00;0
3;27;7;2009;L;35.80;79.00;1016.00;21.00;2.00;30.00;0.00;30.00;4.00;77.00;44.00;0.35;3.37;2.63;41.00;0.40;3.00;5.00;2.00;1.00;0.00;1
4;27;7;2009;L;38.70;59.00;1014.00;18.00;3.00;26.00;0.00;31.00;4.00;75.00;45.00;0.35;3.40;2.65;42.00;0.40;5.00;2.00;1.00;0.00;1.00;2
5;27;7;2009;L;34.80;67.00;1012.00;23.00;4.00;36.00;0.00;13.00;3.00;78.00;16.00;0.40;2.90;3.90;0.00;0.00;2.00;1.00;0.00;1.00;2.00;4
6;27;7;2009;F;39.90;54.00;1009.00;26.00;3.00;34.00;0.00;32.00;4.00;76.00;44.00;0.40;3.50;2.70;38.00;0.40;1.00;0.00;1.00;2.00;4.00;6
7;27;7;2009;F;38.40;49.00;1008.00;17.00;3.00;37.00;0.00;26.00;4.00;75.00;34.00;0.40;2.70;2.50;35.00;0.40;0.00;1.00;2.00;4.00;6.00;2
1;28;7;2009;L;36.40;54.00;1008.00;28.00;4.00;39.00;0.00;37.00;4.00;67.00;59.00;0.40;3.70;2.50;42.00;0.40;1.00;2.00;4.00;6.00;2.00;1
2;28;7;2009;L;34.90;61.00;1010.00;19.00;3.00;30.00;0.00;30.00;4.00;73.00;48.00;0.40;3.50;2.50;41.00;0.40;2.00;4.00;6.00;2.00;1.00;3
3;28;7;2009;L;35.00;67.00;1013.00;22.00;4.00;34.00;0.00;15.00;3.00;73.00;21.00;0.40;2.70;2.20;33.00;0.30;4.00;6.00;2.00;1.00;3.00;1
